X_Plane1_r_0,X_Plane1_r_1,X_Plane1_r_2,X_Plane1_dr_0,X_Plane1_dr_1,X_Plane1_dr_2,X_Plane1_R_0,X_Plane1_R_1,X_Plane1_R_2,X_Plane1_R_3,X_Plane1_R_4,X_Plane1_R_5,X_Plane1_R_6,X_Plane1_R_7,X_Plane1_R_8,X_Plane1_omega_0,X_Plane1_omega_1,X_Plane1_omega_2,X_Plane1_thrust_0,X_Plane1_thrust_1,X_Plane1_flaps_0,X_Plane1_flaps_1,X_t_0,U_Plane1_dthrust_0,U_Plane1_dthrust_1,U_Plane1_dflaps_0,U_Plane1_dflaps_1
1.287339860e+01,4.525991678e+01,1.631099869e+01,1.558590968e+01,-4.080341563e+00,-1.062051206e+00,9.550610448e-01,-2.721703165e-01,-1.197149754e-01,2.089960098e-01,9.008471709e-01,-3.804771138e-01,2.114747117e-01,3.386515150e-01,9.171642304e-01,1.857598461e-02,2.021978659e-01,-2.320492007e-01,9.734333061e+00,9.780107224e+00,-2.420773615e-01,9.161430162e-03,7.287786400e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.325169818e+01,4.515952231e+01,1.628478696e+01,1.555820821e+01,-4.192845392e+00,-1.105037152e+00,9.528125691e-01,-2.789022273e-01,-1.220685049e-01,2.144691819e-01,8.994415768e-01,-3.807576214e-01,2.160614609e-01,3.368972401e-01,9.167342574e-01,1.797150117e-02,2.024835277e-01,-2.321859007e-01,9.855796094e+00,9.901570295e+00,-2.428313277e-01,9.084850442e-03,7.530712613e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.362931689e+01,4.505634557e+01,1.625747325e+01,1.553040120e+01,-4.305523028e+00,-1.148230060e+00,9.505042926e-01,-2.856230735e-01,-1.244274045e-01,2.199314611e-01,8.979913970e-01,-3.810659141e-01,2.206473611e-01,3.351161599e-01,9.162837672e-01,1.736922662e-02,2.028718960e-01,-2.323224381e-01,9.977259126e+00,1.002303337e+01,-2.435852939e-01,9.008270723e-03,7.773638826e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.400625224e+01,4.495038283e+01,1.622905309e+01,1.550248504e+01,-4.418400088e+00,-1.191659941e+00,9.481357166e-01,-2.923332710e-01,-1.267936605e-01,2.253823716e-01,8.964967226e-01,-3.814019345e-01,2.252345703e-01,3.333075375e-01,9.158124837e-01,1.676933049e-02,2.033649277e-01,-2.324588025e-01,1.009872216e+01,1.014449644e+01,-2.443392602e-01,8.931691004e-03,8.016565040e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.438250172e+01,4.484163033e+01,1.619952200e+01,1.547445612e+01,-4.531502187e+00,-1.235356805e+00,9.457063426e-01,-2.990332356e-01,-1.291692590e-01,2.308214379e-01,8.949576445e-01,-3.817656252e-01,2.298252466e-01,3.314706361e-01,9.153201305e-01,1.617198232e-02,2.039645794e-01,-2.325949836e-01,1.022018519e+01,1.026595951e+01,-2.450932264e-01,8.855111284e-03,8.259491253e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.475806284e+01,4.473008431e+01,1.616887552e+01,1.544631082e+01,-4.644854943e+00,-1.279350664e+00,9.432156720e-01,-3.057233831e-01,-1.315561863e-01,2.362481841e-01,8.933742538e-01,-3.821569289e-01,2.344215483e-01,3.296047187e-01,9.148064315e-01,1.557735165e-02,2.046728079e-01,-2.327309710e-01,1.034164822e+01,1.038742258e+01,-2.458471927e-01,8.778531565e-03,8.502417466e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.513293310e+01,4.461574104e+01,1.613710915e+01,1.541804554e+01,-4.758483971e+00,-1.323671528e+00,9.406632060e-01,-3.124041293e-01,-1.339564286e-01,2.416621347e-01,8.917466416e-01,-3.825757880e-01,2.390256333e-01,3.277090484e-01,9.142711105e-01,1.498560802e-02,2.054915699e-01,-2.328667543e-01,1.046311125e+01,1.050888565e+01,-2.466011589e-01,8.701951846e-03,8.745343680e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.550711000e+01,4.449859676e+01,1.610421844e+01,1.538965665e+01,-4.872414888e+00,-1.368349408e+00,9.380484462e-01,-3.190758901e-01,-1.363719723e-01,2.470628139e-01,8.900748989e-01,-3.830221452e-01,2.436396598e-01,3.257828882e-01,9.137138911e-01,1.439692099e-02,2.064228223e-01,-2.330023231e-01,1.058457429e+01,1.063034872e+01,-2.473551251e-01,8.625372126e-03,8.988269893e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.588059106e+01,4.437864772e+01,1.607019891e+01,1.536114056e+01,-4.986673310e+00,-1.413414315e+00,9.353708939e-01,-3.257390813e-01,-1.388048034e-01,2.524497462e-01,8.883591168e-01,-3.834959431e-01,2.482657860e-01,3.238255012e-01,9.131344972e-01,1.381146007e-02,2.074685218e-01,-2.331376671e-01,1.070603732e+01,1.075181179e+01,-2.481090914e-01,8.548792407e-03,9.231196106e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.625337376e+01,4.425589017e+01,1.603504609e+01,1.533249364e+01,-5.101284854e+00,-1.458896259e+00,9.326300504e-01,-3.323941186e-01,-1.412569084e-01,2.578224557e-01,8.865993863e-01,-3.839971243e-01,2.529061698e-01,3.218361505e-01,9.125326526e-01,1.322939482e-02,2.086306251e-01,-2.332727760e-01,1.082750035e+01,1.087327486e+01,-2.488630576e-01,8.472212688e-03,9.474122320e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.662545561e+01,4.413032037e+01,1.599875550e+01,1.530371229e+01,-5.216275136e+00,-1.504825253e+00,9.298254173e-01,-3.390414179e-01,-1.437302733e-01,2.631804669e-01,8.847957984e-01,-3.845256313e-01,2.575629695e-01,3.198140991e-01,9.119080811e-01,1.265089478e-02,2.099110890e-01,-2.334076393e-01,1.094896338e+01,1.099473793e+01,-2.496170238e-01,8.395632968e-03,9.717048533e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.699683412e+01,4.400193456e+01,1.596132266e+01,1.527479289e+01,-5.331669773e+00,-1.551231306e+00,9.269564957e-01,-3.456813951e-01,-1.462268845e-01,2.685233041e-01,8.829484441e-01,-3.850814069e-01,2.622383431e-01,3.177586102e-01,9.112605063e-01,1.207612949e-02,2.113118702e-01,-2.335422466e-01,1.107042642e+01,1.111620100e+01,-2.503709901e-01,8.319053249e-03,9.959974746e-01,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.736750679e+01,4.387072900e+01,1.592274311e+01,1.524573182e+01,-5.447494380e+00,-1.598144430e+00,9.240227872e-01,-3.523144658e-01,-1.487487281e-01,2.738504917e-01,8.810574146e-01,-3.856643935e-01,2.669344487e-01,3.156689468e-01,9.105896521e-01,1.150526849e-02,2.128349255e-01,-2.336765877e-01,1.119188945e+01,1.123766407e+01,-2.511249563e-01,8.242473530e-03,1.020290096e+00,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.773747112e+01,4.373669993e+01,1.588301237e+01,1.521652549e+01,-5.563774575e+00,-1.645594635e+00,9.210237932e-01,-3.589410460e-01,-1.512977905e-01,2.791615538e-01,8.791228008e-01,-3.862745337e-01,2.716534445e-01,3.135443720e-01,9.098952422e-01,1.093848131e-02,2.144822117e-01,-2.338106522e-01,1.131335248e+01,1.135912714e+01,-2.518789225e-01,8.165893810e-03,1.044582717e+00,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.810672462e+01,4.359984361e+01,1.584212597e+01,1.518717027e+01,-5.680535973e+00,-1.693611933e+00,9.179590149e-01,-3.655615515e-01,-1.538760578e-01,2.844560149e-01,8.771446938e-01,-3.869117703e-01,2.763974885e-01,3.113841488e-01,9.091770005e-01,1.037593750e-02,2.162556854e-01,-2.339444297e-01,1.143481551e+01,1.148059021e+01,-2.526328888e-01,8.089314091e-03,1.068875339e+00,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
1.847526478e+01,4.346015629e+01,1.580007943e+01,1.515766256e+01,-5.797804191e+00,-1.742226333e+00,9.148279538e-01,-3.721763981e-01,-1.564855163e-01,2.897333993e-01,8.751231847e-01,-3.875760456e-01,2.811687390e-01,3.091875403e-01,9.084346506e-01,9.817806606e-03,2.181573035e-01,-2.340779097e-01,1.155627854e+01,1.160205328e+01,-2.533868550e-01,8.012734372e-03,1.093167960e+00,4.999996933e+00,4.999998508e+00,-3.103684139e-02,-3.152385998e-03
